,InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding,combined,output,T5_SS1,T5_SS2,T5_result,messages,USE_similarity,SS1_USE,SS2_USE,result_USE
10,a7905e16-15be-433f-bdef-b488a83e4582,Tony was happy to be going on his first cruise.,He arrived at the docks and was ready with all his luggage.,When he walked around the corner he couldn't believe the size of it.,He boarded and the ship left the docks.,Tony enjoyed going on the cruise.,Tony was scared of the ocean.,1,Tony was happy to be going on his first cruise. He arrived at the docks and was ready with all his luggage. When he walked around the corner he couldn't believe the size of it. He boarded and the ship left the docks.,Tony was so excited to be on such a beautiful ship.,3.2,0.8,1,"['Tony was so excited to be on such a beautiful ship.', 'Tony enjoyed going on the cruise.', 'Tony was scared of the ocean.']","(0.5249771, 0.5427246, 2)",0.5249770879745483,0.542724609375,2
11,52dbbfda-5b42-4ace-8d59-55cee3eb30c0,Ignacio wants to play a sport while he is in college.,"Since he was a good swimmer, he decides to try out for swim the team.",Ignacio makes it onto the team easily.,"At the first swim meet, Ignacio wins second place!",Ignacio gave up swimming.,Ignacio won a silver medal.,2,"Ignacio wants to play a sport while he is in college. Since he was a good swimmer, he decides to try out for swim the team. Ignacio makes it onto the team easily. At the first swim meet, Ignacio wins second place!",Ignacio is happy that he decided to play a sport.,1.6,1.6,2,"['Ignacio is happy that he decided to play a sport.', 'Ignacio gave up swimming.', 'Ignacio won a silver medal.']","(0.4377075, 0.34924647, 1)",0.4377075135707855,0.34924647212028503,1
12,1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny bought a boat.,His nearby marina was having a race.,He decided to enter.,Danny and his best friend manned the boat.,Danny decided to go to sleep.,They prepared for the start of the race.,2,Danny bought a boat. His nearby marina was having a race. He decided to enter. Danny and his best friend manned the boat.,They won the race.,0.0,0.8,2,"['They won the race.', 'Danny decided to go to sleep.', 'They prepared for the start of the race.']","(0.18810466, 0.636237, 2)",0.18810465931892395,0.6362370252609253,2
13,0fe46de6-6ee3-4932-a578-268917372566,"At school, Mary received an assignment to write an essay about pandas.","Luckily, Mary loved pandas, as was excited to get started.","As soon as she got home, Mary booted up her computer and began.",She wrote about all she knew and researched a little too!,Mary disliked Pandas.,Mary couldn't wait to present her report.,2,"At school, Mary received an assignment to write an essay about pandas. Luckily, Mary loved pandas, as was excited to get started. As soon as she got home, Mary booted up her computer and began. She wrote about all she knew and researched a little too!",Mary was very proud of herself for completing her essay.,0.0,1.6,2,"['Mary was very proud of herself for completing her essay.', 'Mary disliked Pandas.', ""Mary couldn't wait to present her report.""]","(0.29595155, 0.6008917, 2)",0.2959515452384949,0.6008917093276978,2
14,625d1e13-8bd3-40b3-ac45-0b16a549fc69,Ellen dreamed of winning a prize for her roses.,She planned to enter her special purple rose at the fair.,She fertilized the rose bush and covered it each night.,The roses grew more beautiful every day.,Ellen ended up winning the prize.,Ellen had to pay a replacement fee for her library card.,1,Ellen dreamed of winning a prize for her roses. She planned to enter her special purple rose at the fair. She fertilized the rose bush and covered it each night. The roses grew more beautiful every day.,Ellen won the prize and presented her rose at the fair.,3.2,0.0,1,"['Ellen won the prize and presented her rose at the fair.', 'Ellen ended up winning the prize.', 'Ellen had to pay a replacement fee for her library card.']","(0.7807453, 0.3884526, 1)",0.7807453274726868,0.38845258951187134,1
15,aa615e4f-83c1-4b65-96a4-6a989d253a52,Jesse had just started fifth grade.,"He tried to make friends with the other boys, but he couldn't.",He decided to make friends with the girls instead.,They girls welcomed him into their social groups happily.,"Jesse went to the park with his new friend, Roger.",Jesse was picked on by the other boys in school.,2,"Jesse had just started fifth grade. He tried to make friends with the other boys, but he couldn't. He decided to make friends with the girls instead. They girls welcomed him into their social groups happily.",Jesse was glad he had made friends with the girls.,1.6,0.4,1,"['Jesse was glad he had made friends with the girls.', 'Jesse went to the park with his new friend, Roger.', 'Jesse was picked on by the other boys in school.']","(0.621917, 0.54271865, 1)",0.6219170093536377,0.5427186489105225,1
16,fa0d318c-d286-4c8e-adda-c2590f100f02,Tiffany was getting overwhelmed at work.,"While she liked her job, she longed for a break.","One day, she tripped outside on uneven pavement.",She broke her ankle and had to be off work for a couple months.,Tiffany went in to work the next day.,She was in pain but happy to not have to go to work.,2,"Tiffany was getting overwhelmed at work. While she liked her job, she longed for a break. One day, she tripped outside on uneven pavement. She broke her ankle and had to be off work for a couple months.",Tiffany decided to start looking for a new job.,1.6,0.0,1,"['Tiffany decided to start looking for a new job.', 'Tiffany went in to work the next day.', 'She was in pain but happy to not have to go to work.']","(0.63986564, 0.2035204, 1)",0.6398656368255615,0.20352040231227875,1
17,501c6884-8885-4df3-ae8c-f3f9328fde54,Gina misplaced her phone at her grandparents.,It wasn't in the living room.,She had been in the car before napping in the living room.,She grabbed her dad's keys and ran outside.,But she didn't want her phone anymore.,She found her phone in the car.,2,Gina misplaced her phone at her grandparents. It wasn't in the living room. She had been in the car before napping in the living room. She grabbed her dad's keys and ran outside.,Her dad found her phone in the garage.,1.6,3.2,2,"['Her dad found her phone in the garage.', ""But she didn't want her phone anymore."", 'She found her phone in the car.']","(0.4819755, 0.70537615, 2)",0.4819754958152771,0.705376148223877,2
18,8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Alice was getting married in a few weeks.,"One night, her mother called and she forgot to call her back.",Her mother left an angry message on her phone.,She threatened not to come to the wedding.,Alice called her mother and apologized profusely.,Alice messaged a cute guy she saw on Tinder.,1,"Alice was getting married in a few weeks. One night, her mother called and she forgot to call her back. Her mother left an angry message on her phone. She threatened not to come to the wedding.",Alice was devastated.,1.6,0.8,1,"['Alice was devastated.', 'Alice called her mother and apologized profusely.', 'Alice messaged a cute guy she saw on Tinder.']","(0.50392675, 0.34483218, 1)",0.5039267539978027,0.344832181930542,1
19,ba87797c-dc31-402b-8740-d30c093d4df7,Ted loves to go to the movies.,He sees almost everyone and votes at the Oscars.,He has a big party for the Oscars and they all place bets.,Ted almost always wins with the movies he chooses.,Ted continues to watch several movies a week.,He decides to stop watching movies.,1,Ted loves to go to the movies. He sees almost everyone and votes at the Oscars. He has a big party for the Oscars and they all place bets. Ted almost always wins with the movies he chooses.,Ted is happy that he got to see the movies and wins.,1.6,0.4,1,"['Ted is happy that he got to see the movies and wins.', 'Ted continues to watch several movies a week.', 'He decides to stop watching movies.']","(0.6193839, 0.26209998, 1)",0.6193838715553284,0.2620999813079834,1
20,384621a9-d9b6-436d-8914-61a93d916015,Nya had been asked on a paintball trip with friends.,She was nervous about going.,"But she went anyways, hoping to have fun.",She shot paintballs at her friends and laughed the whole time.,She loved it so much she planned a trip for the next week.,She was shot and vowed to never go there again.,1,"Nya had been asked on a paintball trip with friends. She was nervous about going. But she went anyways, hoping to have fun. She shot paintballs at her friends and laughed the whole time.",Nya was so glad she had gone.,0.4,0.0,1,"['Nya was so glad she had gone.', 'She loved it so much she planned a trip for the next week.', 'She was shot and vowed to never go there again.']","(0.19674185, 0.37727585, 2)",0.19674184918403625,0.37727585434913635,2
21,f531b039-67a6-4797-989d-24f716ed4073,All of Javier's friends at school have smartphones.,"However, he still uses an old style flip phone.",One day he decides to buy a smartphone too.,At first he loves having the access to internet everywhere he goes.,Javier decides to get a smartphone.,But then he misses his old phone.,2,"All of Javier's friends at school have smartphones. However, he still uses an old style flip phone. One day he decides to buy a smartphone too. At first he loves having the access to internet everywhere he goes.",After a while Javier is happy to have a smartphone.,3.2,1.6,1,"['After a while Javier is happy to have a smartphone.', 'Javier decides to get a smartphone.', 'But then he misses his old phone.']","(0.77692914, 0.33615702, 1)",0.7769291400909424,0.33615702390670776,1
22,60facd71-c194-427a-9127-471d5844785e,Rachel decided to donate blood at the local blood drive.,She was a little nervous because this was her first time.,The next day Rachel received a call from the doctor that she saw.,The doctor told her that he had bad news.,Rachel broke down in tears.,Rachel started moonwalking with excitement.,1,Rachel decided to donate blood at the local blood drive. She was a little nervous because this was her first time. The next day Rachel received a call from the doctor that she saw. The doctor told her that he had bad news.,Rachel had to stop and had to go home.,1.6,0.8,1,"['Rachel had to stop and had to go home.', 'Rachel broke down in tears.', 'Rachel started moonwalking with excitement.']","(0.65154135, 0.5678346, 1)",0.6515413522720337,0.5678346157073975,1
23,d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Ron was watching a high-speed chase on TV.,The cop was chasing the bad guy through his neighborhood.,It was terrifying!,But then the cop caught the bad guy.,Ron started collecting bottle caps.,Ron applauded the officer's performance.,2,Ron was watching a high-speed chase on TV. The cop was chasing the bad guy through his neighborhood. It was terrifying! But then the cop caught the bad guy.,Ron was glad he had been caught!,0.8,2.2,2,"['Ron was glad he had been caught!', 'Ron started collecting bottle caps.', ""Ron applauded the officer's performance.""]","(0.38339335, 0.570053, 2)",0.3833933472633362,0.570052981376648,2
24,8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Sam loved his old belt.,He matched it with everything.,Unfortunately he gained too much weight.,It became too small.,Sam went on a diet.,Sam was happy.,1,Sam loved his old belt. He matched it with everything. Unfortunately he gained too much weight. It became too small.,Sam had to get a new belt.,0.4,0.4,2,"['Sam had to get a new belt.', 'Sam went on a diet.', 'Sam was happy.']","(0.5703558, 0.4600532, 1)",0.5703557729721069,0.4600532054901123,1
25,696b1a71-b684-45ec-8435-7b48274ee411,Larry bought a new motorcycle.,He was excited to look cool.,The first time he tried riding it he dropped it.,He hurt his leg and had to go to the hospital.,Larry loved going to the hospital.,Larry became careful.,2,Larry bought a new motorcycle. He was excited to look cool. The first time he tried riding it he dropped it. He hurt his leg and had to go to the hospital.,Larry decided to keep riding his motorcycle.,0.4,0.4,2,"['Larry decided to keep riding his motorcycle.', 'Larry loved going to the hospital.', 'Larry became careful.']","(0.5236455, 0.5877439, 2)",0.5236455202102661,0.587743878364563,2
26,1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,I went on a blind date a few days ago.,She was cute and friendly.,We were set up through a co worker.,We seem to have some things in common.,Soon we were boyfriend and girlfriend and thinking of marriage.,We broke up right away.,1,I went on a blind date a few days ago. She was cute and friendly. We were set up through a co worker. We seem to have some things in common.,We are going on a blind date this weekend.,0.0,0.0,2,"['We are going on a blind date this weekend.', 'Soon we were boyfriend and girlfriend and thinking of marriage.', 'We broke up right away.']","(0.31878272, 0.32341036, 2)",0.3187827169895172,0.32341036200523376,2
27,9f32f9ef-0b7b-461b-953f-3d7da39bac87,Sammy's coffee grinder was broken.,He needed something to crush up his coffee beans.,He put his coffee beans in a plastic bag.,He tried crushing them with a hammer.,Sammy was not that into coffee.,It worked for Sammy.,2,Sammy's coffee grinder was broken. He needed something to crush up his coffee beans. He put his coffee beans in a plastic bag. He tried crushing them with a hammer.,The coffee beans were too hard to eat.,0.0,0.0,2,"['The coffee beans were too hard to eat.', 'Sammy was not that into coffee.', 'It worked for Sammy.']","(0.3923733, 0.0045130113, 1)",0.39237329363822937,0.004513011313974857,1
28,3972aeda-e5f8-4776-abbb-8566bf38930a,Last week Jared was driving to work.,He had been partying hard the night before.,He didn't get any sleep.,Before he knew it his car was facing oncoming traffic.,Jared swerved quickly and managed to avoid a collision.,Jared decided to accelerate.,1,Last week Jared was driving to work. He had been partying hard the night before. He didn't get any sleep. Before he knew it his car was facing oncoming traffic.,He was late to work.,0.0,0.0,2,"['He was late to work.', 'Jared swerved quickly and managed to avoid a collision.', 'Jared decided to accelerate.']","(0.14129679, 0.2241329, 2)",0.14129678905010223,0.22413289546966553,2
29,411b9523-5254-41ff-b740-e039d0423201,Joe grew a big batch of peas in his garden.,He brought the peas inside and shelled them all.,Then he cooked them up in a big pot.,"He added ham, bacon, and carrots to make thick pea soup.",Joe thought about working in the garden as he ate the yummy soup.,Joe dumped the pot outside because he hated soup.,1,"Joe grew a big batch of peas in his garden. He brought the peas inside and shelled them all. Then he cooked them up in a big pot. He added ham, bacon, and carrots to make thick pea soup.",The soup was delicious!,2.2,0.0,1,"['The soup was delicious!', 'Joe thought about working in the garden as he ate the yummy soup.', 'Joe dumped the pot outside because he hated soup.']","(0.4636041, 0.41924, 1)",0.4636040925979614,0.41923999786376953,1
30,36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,Aliza had a long lost ex-boyfriend she was bound to find.,"The problem was, he moved to a new state.",She decided to use Facebook to find him.,"She found him, but he was married with kids.","Aliza was sad, but she never contacted him again.",He fell in love with Aliza and they were married.,1,"Aliza had a long lost ex-boyfriend she was bound to find. The problem was, he moved to a new state. She decided to use Facebook to find him. She found him, but he was married with kids.","Aliza was so upset, she deleted his profile.",2.8,0.0,1,"['Aliza was so upset, she deleted his profile.', 'Aliza was sad, but she never contacted him again.', 'He fell in love with Aliza and they were married.']","(0.50745255, 0.2270267, 1)",0.5074525475502014,0.22702670097351074,1
31,80b6447f-4c37-4194-9862-3785e5075463,Lina went to see how candy canes were made.,She watched as the workers added dye to the hot candy.,"Then, they stretched it out to make it shiny.","Finally, they shaped it into a cane and let it cool.",Lina now knew that candy canes were boring.,Lina felt a new appreciation for candy canes.,2,"Lina went to see how candy canes were made. She watched as the workers added dye to the hot candy. Then, they stretched it out to make it shiny. Finally, they shaped it into a cane and let it cool.",Lina was so happy when she saw how the candy was made!,1.2,3.2,2,"['Lina was so happy when she saw how the candy was made!', 'Lina now knew that candy canes were boring.', 'Lina felt a new appreciation for candy canes.']","(0.6311326, 0.5886942, 1)",0.6311326026916504,0.5886942148208618,1
32,dd3506fe-31ce-4bbb-9000-02c222da3466,"When I first moved into my house, I didn't know my neighbors.","While mowing one day, I found a kickball in my yard.",I felt this was the perfect opportunity to meet my neighbors.,I grabbed the ball and went next door to return it.,They were very friendly.,I threw the kickball through their closed window.,1,"When I first moved into my house, I didn't know my neighbors. While mowing one day, I found a kickball in my yard. I felt this was the perfect opportunity to meet my neighbors. I grabbed the ball and went next door to return it.",I was so happy to meet my neighbors that I stayed home.,1.4,0.0,1,"['I was so happy to meet my neighbors that I stayed home.', 'They were very friendly.', 'I threw the kickball through their closed window.']","(0.18703419, 0.25515485, 2)",0.18703418970108032,0.2551548480987549,2
33,ad42188e-383b-4c7d-9cd9-906725b7ce12,Bev had been studying very hard.,She couldn't wait for the weekend.,"When it came, she slept in very late.",Then she got up and went out to party.,"By Sunday night, Bev was exhausted again.","Bev got the mail and fed the fish, just like she did every day.",1,"Bev had been studying very hard. She couldn't wait for the weekend. When it came, she slept in very late. Then she got up and went out to party.",Bev had a great weekend.,0.8,0.8,2,"['Bev had a great weekend.', 'By Sunday night, Bev was exhausted again.', 'Bev got the mail and fed the fish, just like she did every day.']","(0.5738141, 0.37513727, 1)",0.5738140940666199,0.3751372694969177,1
34,f8ff777f-de4d-4e3a-91bd-b197ed13f78e,We went to Frank Pepe's pizza shop three weeks ago.,The chain is quite famous in Connecticut.,The chain recently opened in Boston.,We went early to beat the crowd.,We walked 5 growling dogs at the park across town.,We had a great pizza at Frank Pepe's pizza shop.,2,We went to Frank Pepe's pizza shop three weeks ago. The chain is quite famous in Connecticut. The chain recently opened in Boston. We went early to beat the crowd.,We ordered pizza at the last minute.,0.0,2.8,2,"['We ordered pizza at the last minute.', 'We walked 5 growling dogs at the park across town.', ""We had a great pizza at Frank Pepe's pizza shop.""]","(0.18769163, 0.5036138, 2)",0.18769162893295288,0.5036138296127319,2
35,dfdf2b81-86fa-48f0-8a47-488ccf3e086b,Bernice always wanted to travel to Africa.,Bernice decided she would take a trip for her birthday next year.,Bernice started to look at the price of airline tickets for the trip.,"In addition, Bernice looked up the price of hotels as well.",Bernice went to Europe for her birthday.,Bernice decided to get an airplane ticket and reserve a room.,2,"Bernice always wanted to travel to Africa. Bernice decided she would take a trip for her birthday next year. Bernice started to look at the price of airline tickets for the trip. In addition, Bernice looked up the price of hotels as well.",Bernice decided that the trip would cost her more than her birthday.,1.6,1.0,1,"['Bernice decided that the trip would cost her more than her birthday.', 'Bernice went to Europe for her birthday.', 'Bernice decided to get an airplane ticket and reserve a room.']","(0.57622445, 0.37800735, 1)",0.5762244462966919,0.37800735235214233,1
36,de06c035-4c96-4ed0-89c2-3ce71e99e9d1,Jim made spinach cookies.,He sold them for five dollars each.,No one bought any.,"However, at the last minute a man wanted twenty.",He was surprised but thankful.,Jim thought he was crazy and left.,1,"Jim made spinach cookies. He sold them for five dollars each. No one bought any. However, at the last minute a man wanted twenty.",He bought two cookies.,0.0,0.0,2,"['He bought two cookies.', 'He was surprised but thankful.', 'Jim thought he was crazy and left.']","(0.1959129, 0.20597816, 2)",0.1959128975868225,0.2059781551361084,2
37,f547c9a1-be95-439d-922d-1417d7f6b818,Randy's friend gave him directions to his house.,He was supposed to take a right after the white house.,Randy continued to get lost.,He backtracked continuously until he finally found it.,Randy told his friend how relieved he was he found it.,Randy saw the house but kept on driving and didn't come back.,1,Randy's friend gave him directions to his house. He was supposed to take a right after the white house. Randy continued to get lost. He backtracked continuously until he finally found it.,He was relieved when he was able to get home.,3.2,0.4,1,"['He was relieved when he was able to get home.', 'Randy told his friend how relieved he was he found it.', ""Randy saw the house but kept on driving and didn't come back.""]","(0.33863223, 0.19706544, 1)",0.3386322259902954,0.19706544280052185,1
38,195a43c7-d43e-48e4-845b-fd6c75609df2,I decided to go on a bike ride with my brother.,We both headed out in the morning.,We were having a lot of fun.,"Suddenly, he hit a rock and broke his wheel!",Watching my brother crash was fun.,I felt very badly for my brother.,2,"I decided to go on a bike ride with my brother. We both headed out in the morning. We were having a lot of fun. Suddenly, he hit a rock and broke his wheel!",We were very sad.,0.0,0.4,2,"['We were very sad.', 'Watching my brother crash was fun.', 'I felt very badly for my brother.']","(0.13778296, 0.2995245, 2)",0.1377829611301422,0.2995244860649109,2
39,a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,Anna went to the salon.,She was getting her nails done for the first time.,"She was nervous, but the tech was friendly.",He did her nails quickly and expertly.,Anna felt very fashionable when she left the salon.,Anna really liked her new hairstyle.,1,"Anna went to the salon. She was getting her nails done for the first time. She was nervous, but the tech was friendly. He did her nails quickly and expertly.",Anna was happy with her new look!,3.2,3.2,2,"['Anna was happy with her new look!', 'Anna felt very fashionable when she left the salon.', 'Anna really liked her new hairstyle.']","(0.6970239, 0.748325, 2)",0.6970239281654358,0.748324990272522,2
40,b8c30925-f572-4ac3-b865-1cba592b6f0c,David and Sarah were friends during childhood.,"When they went to college, each moved to a different town.",Sarah received an unexpected call from David on Friday.,They had dinner and talked about their lives.,Sarah was glad they were able to catch up.,Sarah and david went to go get dinner right after that.,1,"David and Sarah were friends during childhood. When they went to college, each moved to a different town. Sarah received an unexpected call from David on Friday. They had dinner and talked about their lives.",Sarah was so happy to hear that she moved away from David.,2.4,0.4,1,"['Sarah was so happy to hear that she moved away from David.', 'Sarah was glad they were able to catch up.', 'Sarah and david went to go get dinner right after that.']","(0.6578422, 0.6272161, 1)",0.657842218875885,0.627216100692749,1
41,0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ and his mom were at the grocery store.,Aj was looking at a cereal box and when he looked up his mom was gone.,He immediately started to feel panic.,Then his mom stepped out from behind a display of soup.,AJ then began to feel sad.,AJ let out a sigh of relief.,2,AJ and his mom were at the grocery store. Aj was looking at a cereal box and when he looked up his mom was gone. He immediately started to feel panic. Then his mom stepped out from behind a display of soup.,Aj was relieved and rushed to his mom's house.,0.0,2.8,2,"[""Aj was relieved and rushed to his mom's house."", 'AJ then began to feel sad.', 'AJ let out a sigh of relief.']","(0.5271016, 0.5320779, 2)",0.5271015763282776,0.5320779085159302,2
42,fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe went to the junkyard to find treasures.,He dug through a stack of old clothes.,At the bottom was a vintage shirt with a rock band on it.,Joe put the shirt on to try it out.,Joe was happy the shirt fit.,Joe hated rock music afterwards.,1,Joe went to the junkyard to find treasures. He dug through a stack of old clothes. At the bottom was a vintage shirt with a rock band on it. Joe put the shirt on to try it out.,He bought the shirt and wore it to work the next day.,1.6,0.0,1,"['He bought the shirt and wore it to work the next day.', 'Joe was happy the shirt fit.', 'Joe hated rock music afterwards.']","(0.38928503, 0.109392345, 1)",0.38928502798080444,0.10939234495162964,1
43,e689960d-0515-424b-aac3-5d7160ac2577,Priya decided to try a new restaurant.,She drove to a new cafe that opened.,Priya sat at a booth.,She ordered a mimosa and a breakfast burrito.,Priya thought her food was delicious.,Priya decided not to eat and left.,1,Priya decided to try a new restaurant. She drove to a new cafe that opened. Priya sat at a booth. She ordered a mimosa and a breakfast burrito.,Priya was very satisfied with her meal.,2.8,0.8,1,"['Priya was very satisfied with her meal.', 'Priya thought her food was delicious.', 'Priya decided not to eat and left.']","(0.70677525, 0.5044615, 1)",0.7067752480506897,0.5044615268707275,1
44,57d5152a-77db-4156-8330-166edb36b0a2,Karen was assigned a roommate her first year of college.,"One day, her roommate asked her to go to a nearby city for a concert.",Karen agreed happily.,The show was absolutely exhilarating.,Karen hated her roommate.,Karen became good friends with her roommate.,2,"Karen was assigned a roommate her first year of college. One day, her roommate asked her to go to a nearby city for a concert. Karen agreed happily. The show was absolutely exhilarating.",Karen and her roommate enjoyed the concert very much.,1.0,3.2,2,"['Karen and her roommate enjoyed the concert very much.', 'Karen hated her roommate.', 'Karen became good friends with her roommate.']","(0.6302153, 0.72536415, 2)",0.6302152872085571,0.7253641486167908,2
